%time,field.timeTag,field.tagNum,field.range,field.bearing.x,field.bearing.y,field.bearing.z,field.bearing.w
1429052995459670700,102,1,0.66063,0.0,0.0,-0.255021559621,0.966935367089
1429052995459707933,104,2,1.5853,0.0,0.0,-0.224675490809,0.974433642599
1429052995459746430,106,2,1.5853,0.0,0.0,-0.224675490809,0.974433642599
1429052995459783377,108,2,1.5853,0.0,0.0,-0.224675490809,0.974433642599
1429052995459816320,110,2,1.4945,0.0,0.0,-0.238193121774,0.971217811173
1429052995459849238,112,2,0.6817,0.0,0.0,-0.252380879023,0.967627971848
1429052995459881951,114,2,0.6817,0.0,0.0,-0.252380879023,0.967627971848
1429052995459914961,116,2,0.6817,0.0,0.0,-0.252380879023,0.967627971848
1429052995459947550,118,3,2.0171,0.0,0.0,0.244549443428,0.96963682362
1429052995459980298,120,3,1.9894,0.0,0.0,0.180082183491,0.98365156798
1429052995460013126,122,3,1.7308,0.0,0.0,0.182245779396,0.98325300706
1429052995460046884,124,3,1.4651,0.0,0.0,0.180052673863,0.983656970003
1429052995460080261,126,3,1.175,0.0,0.0,0.102459876693,0.994737137976
1429052995460113764,128,3,0.93844,0.0,0.0,0.120759553584,0.992681786988
1429052995460147318,130,3,0.67055,0.0,0.0,0.0894154214769,0.995994418861
1429052995460181178,132,4,1.5084,0.0,0.0,-0.0660069745887,0.997819161625
1429052995460215439,134,4,1.5084,0.0,0.0,-0.0660069745887,0.997819161625
1429052995460249235,136,4,1.5084,0.0,0.0,-0.0660069745887,0.997819161625
1429052995460283302,138,4,1.2062,0.0,0.0,-0.0638415532973,0.997960047333
1429052995460320735,140,4,0.75176,0.0,0.0,-0.234097334928,0.972213164784
1429052995460354843,142,4,0.75176,0.0,0.0,-0.234097334928,0.972213164784
1429052995460392398,144,4,0.75176,0.0,0.0,-0.234097334928,0.972213164784
1429052995460430333,146,4,0.75176,0.0,0.0,-0.234097334928,0.972213164784
1429052995460462970,148,5,1.5033,0.0,0.0,-0.250861392685,0.968023017113
1429052995460495337,150,5,1.5033,0.0,0.0,-0.250861392685,0.968023017113
1429052995460527647,152,5,1.5033,0.0,0.0,-0.250861392685,0.968023017113
1429052995460560102,154,5,0.9907,0.0,0.0,-0.242629084406,0.97011913052
1429052995460592859,156,5,0.96313,0.0,0.0,-0.239222478644,0.970964780881
1429052995460625952,158,5,0.57312,0.0,0.0,-0.223155101558,0.974782950532
1429052995460659513,160,0,2.2289,0.0,0.0,0.124704499259,0.992193926541
1429052995460692778,162,5,0.28722,0.0,0.0,0.0351842366798,0.999380843067
1429052995460727126,164,5,0.53135,0.0,0.0,-2.53704999973e-05,0.999999999678
1429052995460761299,166,0,1.9121,0.0,0.0,-0.258505696938,0.966009733207
1429052995460795396,168,0,1.9121,0.0,0.0,-0.258505696938,0.966009733207
1429052995460829264,170,0,1.9121,0.0,0.0,-0.258505696938,0.966009733207
1429052995460863003,172,0,2.1124,0.0,0.0,-0.241663695926,0.970360066198
1429052995460897283,174,0,2.1124,0.0,0.0,-0.241663695926,0.970360066198
1429052995460931015,176,0,2.1124,0.0,0.0,-0.241663695926,0.970360066198
1429052995460964847,178,1,2.0036,0.0,0.0,0.192648014952,0.981267925867
