%time,field.timeTag,field.rotation1.x,field.rotation1.y,field.rotation1.z,field.rotation1.w,field.translation,field.rotation2.x,field.rotation2.y,field.rotation2.z,field.rotation2.w
1429052995457793741,1,0.0,0.0,-0.00590296571798,0.999982577346,0.28515,0.0,0.0,0.0116627355908,0.999931987986
1429052995457903520,3,0.0,0.0,0.667130405193,0.744940952335,0.28658,0.0,0.0,0.0671943323746,0.997739906838
1429052995457940119,5,0.0,0.0,-0.00273789657941,0.999996251954,0.28795,0.0,0.0,-0.00188709887996,0.999998219427
1429052995457977559,7,0.0,0.0,-0.00174869910876,0.999998471025,0.28675,0.0,0.0,-0.0020912984756,0.999997813233
1429052995458011584,9,0.0,0.0,-0.00165389924599,0.999998632308,0.28573,0.0,0.0,-0.00183609896834,0.999998314369
1429052995458046799,11,0.0,0.0,-0.0029218458426,0.999995731399,0.28584,0.0,0.0,-0.0145324884242,0.999894397814
1429052995458080315,13,0.0,0.0,-0.00809141170534,0.999967263992,0.28895,0.0,0.0,-0.0395431873677,0.999217862297
1429052995458114120,15,0.0,0.0,0.647386225692,0.762162105319,0.28509,0.0,-0.0,-0.999661923541,-0.0260007427291
1429052995458148557,17,-0.0,0.0,0.948998068123,-0.315281884508,0.28533,0.0,0.0,-0.945702770824,0.325032720286
1429052995458188346,19,0.0,0.0,-0.00577946782498,0.999983298736,0.28769,0.0,0.0,-0.00207544851,0.999997846254
1429052995458223089,21,0.0,0.0,-0.000696549943674,0.999999757409,0.28514,0.0,0.0,-0.0020084486497,0.999997983065
1429052995458257117,23,0.0,0.0,-0.000593099965228,0.999999824116,0.28773,0.0,0.0,-0.000976899844619,0.999999522833
1429052995458291297,25,0.0,0.0,0.109509928693,0.993985701868,0.28546,0.0,0.0,0.0898984682347,0.995950935242
1429052995458325797,27,0.0,0.0,0.878851709145,0.477095035956,0.28818,0.0,0.0,-0.999736744595,0.022944313178
1429052995458360364,29,0.0,0.0,0.99999712881,0.00239632450146,0.28564,0.0,-0.0,-0.999997111179,-0.00240367089051
1429052995458403885,31,-0.0,0.0,0.998136803365,-0.0610157501602,0.28624,0.0,0.0,-0.999993168592,0.00369631837785
1429052995458437274,33,0.0,0.0,0.010858286619,0.999941047068,0.28731,0.0,0.0,0.0768541409441,0.997042346653
1429052995458470013,35,0.0,0.0,0.0169346904632,0.999856597847,0.28651,0.0,0.0,0.0770635181407,0.997026185299
1429052995458503002,37,0.0,0.0,0.00445518526161,0.999990075613,0.28547,0.0,0.0,0.0219832290037,0.999758339621
1429052995458535615,39,0.0,0.0,0.273346196241,0.9619157224,0.28529,0.0,0.0,0.0351052854834,0.999383619503
1429052995458568478,41,0.0,0.0,-0.0380388206313,0.999276262164,0.28673,0.0,0.0,0.183607409581,0.982999653686
1429052995458601707,43,0.0,0.0,0.118858347698,0.992911221199,0.28773,0.0,0.0,0.322079294337,0.946712695679
1429052995458641216,45,0.0,0.0,0.0228075221892,0.999739874633,0.28662,0.0,0.0,0.0151504203476,0.999885225795
1429052995458675251,47,0.0,0.0,0.0427080062847,0.99908759686,0.28609,0.0,0.0,0.0922337238605,0.995737385149
1429052995458708673,49,0.0,0.0,0.013938548623,0.999902853712,0.28748,0.0,0.0,0.0128516462004,0.999917414185
1429052995458742066,51,0.0,0.0,0.00996883487935,0.999950309931,0.28604,0.0,0.0,0.0105383049335,0.999944470523
1429052995458775673,53,0.0,0.0,0.0105713030953,0.999944122214,0.28942,0.0,0.0,0.00548547248961,0.999984954683
1429052995458809558,55,0.0,0.0,0.520554286449,0.853828574633,0.28527,0.0,0.0,0.112511261562,0.993650449616
